,District,Per Student Funding Gap,Total Funding Gap,Total Allocated Funds,Post Allocation Gap,Enrollment Size
990,LIBERTY UNION HIGH,-4746.727,-39416821.008,68593.4843962974,-4738.466705636284,8304
806,EL CENTRO ELEMENTARY,-7422.631,-39629426.909,68778.2249097248,-7409.748770198591,5339
1255,SAN LORENZO UNIFIED,-4075.1,-39960430.6,69064.86173242099,-4068.056877245317,9806
859,FULLERTON JOINT UNION HIGH,-2968.405,-40459360.150000006,69494.68202546035,-2963.3063439453076,13630
783,DELANO UNION ELEMENTARY,-6080.635,-40661206.245000005,69667.81598840063,-6070.216603710423,6687
1158,PATTERSON JOINT UNIFIED,-6612.768,-40860293.472,69838.16307493279,-6601.465497479377,6179
604,ABC UNIFIED,-2047.572,-41502236.868,70384.62796261354,-2044.099474075553,20269
852,FRANKLIN-MCKINLEY ELEMENTARY,-6054.568,-41606991.296000004,70473.3997410782,-6044.312848698912,6872
644,BALDWIN PARK UNIFIED,-3464.242,-41951970.620000005,70764.95745973858,-3458.398485758899,12110
1316,SOUTH BAY UNION,-6071.354,-42195910.300000004,70970.3990571756,-6061.142431790335,6950
650,BARSTOW UNIFIED,-6633.908,-42689197.980000004,71384.0303791039,-6622.814910585998,6435
1268,SAN YSIDRO ELEMENTARY,-9669.176,-43269562.599999994,71867.62938639295,-9653.116194550526,4475
991,LINCOLN UNIFIED,-4671.109,-43857042.401,72353.86535356466,-4663.402762343853,9389
786,DESERT SANDS UNIFIED,-1580.472,-44194738.536,72631.89101685023,-1577.8745715761238,27963
754,COLTON JOINT UNIFIED,-2086.063,-44785686.547000006,73115.87556988036,-2082.6573511309384,21469
1088,NAPA VALLEY UNIFIED,-2614.312,-45473342.927999996,73675.06167057245,-2610.0763404811673,17394
1036,MARYSVILLE JOINT UNIFIED,-4573.887,-45597079.503,73775.23141933902,-4566.486535417861,9969
1274,SANTA MARIA JOINT UNION HIGH,-5316.627,-46026039.939,74121.44409168932,-5308.064975731583,8657
1185,POMONA UNIFIED,-2040.793,-46460693.438,74470.60991506618,-2037.5218671740724,22766
822,ESCONDIDO UNION,-3227.93,-48406038.28,76013.69377494897,-3222.86106869999,14996
1168,PITTSBURG UNIFIED,-4267.463,-48508251.921,76093.90627981635,-4260.7687177549205,11367
913,HUENEME ELEMENTARY,-6107.58,-48530830.68,76111.61363909427,-6098.00139269581,7946
660,BELLFLOWER UNIFIED,-4268.682,-48684318.21,76231.87699788311,-4261.997924857704,11405
1009,LOS BANOS UNIFIED,-4428.232,-49082523.488,76543.0050635724,-4421.326279586469,11084
1421,WILLIAM S. HART UNION HIGH,-2211.513,-49157510.964,76601.45332315729,-2208.066830604501,22228
1078,MOUNTAIN VIEW ELEMENTARY,-8067.551,-49462155.181,76838.44809288926,-8055.018224254953,6131
1021,LYNWOOD UNIFIED,-3760.025,-49801531.125,77101.60426410989,-3754.2038143250957,13245
1379,VAL VERDE UNIFIED,-2557.294,-50992442.36,78018.02890360252,-2553.38136063673,19940
